order_id,trader_id,symbol,order_type,order_status,price,volume,timestamp,is_fraud,fraud_type
4052a25a-f914-4779-8083-9c8f491891ca,TRADER_0238,GOOGL_SIM,sell,executed,165.075554,305.7702,2026-08-28T13:47:32.346861+00:00,False,none
99ec9baa-4f93-4f60-998e-10d7354fa254,TRADER_0090,ETH_SIM,buy,executed,3400.847586,434.8458,2026-08-28T13:47:32.346861+00:00,False,none
1fd5fa58-7ed6-41da-b73d-086ef80714ae,TRADER_0412,ETH_SIM,buy,executed,3396.346171,307.5707,2026-08-28T13:47:32.346861+00:00,False,none
1fde8c0d-27e0-4a32-8fed-cb3772135d74,TRADER_0277,BNB_SIM,sell,executed,581.235283,471.7308,2026-08-28T13:47:32.346861+00:00,False,none
afedb8fd-e40c-4851-8010-f2ecd01ee470,TRADER_0028,ETH_SIM,buy,executed,3403.867452,397.5662,2026-08-28T13:47:32.350351+00:00,False,none
e5d854b3-f47f-4cc0-8d7f-aec0a4e5c74c,TRADER_0394,TSLA_SIM,buy,executed,250.5596,62.3221,2026-08-28T13:47:32.350351+00:00,False,none
a946d588-d59c-4ca8-b834-c2d8a8423ceb,TRADER_0455,XRP_SIM,sell,cancelled,0.519495,1041.0796,2026-08-28T13:47:32.350351+00:00,True,spoofing
c691ae1c-c79a-4d57-862f-efdaaa1cd4cc,TRADER_0361,ETH_SIM,sell,executed,3404.704927,430.9975,2026-08-28T13:47:32.350351+00:00,False,none
b0995843-d09a-4662-95a9-cda062abff2c,TRADER_0342,TSLA_SIM,sell,executed,250.136578,276.3554,2026-08-28T13:47:32.350351+00:00,False,none
24f69f78-74af-49e9-a541-159472470c21,TRADER_0066,MSFT_SIM,sell,executed,410.152152,388.6383,2026-08-28T13:47:32.350351+00:00,False,none
0dcf29d3-8bc2-4c2d-b0af-a9102be46ba3,TRADER_0067,BTC_SIM,buy,executed,65077.397508,368.0535,2026-08-28T13:47:32.350351+00:00,False,none
